Amenity,Price,Category
,3228.0,Standard
1 room,464.6666666666667,Basic
1076 feet²,12332.8,Luxury
10764 feet²,11556.0,Luxury
1098 feet²,4500.0,Standard
1184 feet²,5760.0,Standard
1346 feet²,4140.0,Standard
1507 feet²,12999.0,Luxury
161 feet²,100.0,Basic
172 feet²,1730.0,Basic
183 feet²,5000.0,Standard
1830 feet²,8640.0,Luxury
1938 feet²,6397.5,Standard
194 feet²,7168.333333333333,Standard
1981 feet²,340.0,Basic
215 feet²,6761.6,Standard
2153 feet²,471.5,Basic
220 feet²,344.0,Basic
226 feet²,2600.0,Basic
237 feet²,7700.0,Luxury
2422 feet²,600.0,Basic
252 feet²,354.0,Basic
258 feet²,2126.0,Basic
269 feet²,2451.5,Basic
2691 feet²,8500.0,Luxury
280 feet²,3385.0,Standard
290 feet²,344.0,Basic
291 feet²,191.0,Basic
301 feet²,6160.0,Standard
3014 feet²,10500.0,Luxury
312 feet²,3000.0,Standard
3229 feet²,16000.0,Luxury
323 feet²,77.5,Basic
330 feet²,579.0,Basic
336 feet²,429.0,Basic
344 feet²,43.0,Basic
355 feet²,7150.0,Standard
366 feet²,11250.0,Luxury
377 feet²,4214.5,Standard
388 feet²,6899.0,Standard
398 feet²,494.0,Basic
4198 feet²,4255.0,Standard
420 feet²,705.0,Basic
431 feet²,2101.6666666666665,Basic
484 feet²,2226.0,Basic
505 feet²,374.0,Basic
538 feet²,10242.8,Luxury
581 feet²,510.0,Basic
592 feet²,1951.0,Basic
603 feet²,10000.0,Luxury
622 feet²,839.0,Basic
624 feet²,13980.0,Luxury
646 feet²,6073.0,Standard
689 feet²,11580.0,Luxury
700 feet²,325.0,Basic
710 feet²,180.0,Basic
721 feet²,13980.0,Luxury
732 feet²,730.0,Basic
753 feet²,13983.666666666666,Luxury
775 feet²,7300.0,Standard
807 feet²,10390.5,Luxury
915 feet²,2398.0,Basic
938 feet²,6500.0,Standard
969 feet²,5108.666666666667,Standard
980 feet²,320.0,Basic
Additional bathroom,4577.5,Standard
Air conditioning,4329.777777777777,Standard
Air purifiers,4814.0,Standard
Alarm clock,1727.6666666666667,Basic
Attached bathroom,3464.5,Standard
Baby safety gates,5000.0,Standard
Balcony,7733.25,Luxury
Barbecue,7102.0,Standard
Bathtub or shower,5112.666666666667,Standard
Bed in dorm,12.0,Basic
Bidet,2211.5,Basic
Board games/puzzles,4928.5,Standard
"Books, DVDs or music for children",8480.5,Luxury
CD player,11500.0,Luxury
Cable channels,7301.857142857143,Standard
Carbon monoxide detector,3240.5,Standard
Carpeted,1727.6666666666667,Basic
City view,6970.0,Standard
Cleaning products,7813.625,Luxury
Clothes rack,6487.666666666667,Standard
Coffee machine,5959.0,Standard
DVD player,7377.5,Standard
Detached,4229.0,Standard
Dining table,7372.777777777777,Standard
Drying rack for clothing,5024.5,Standard
Electric kettle,4785.222222222223,Standard
Entire apartment,4498.5,Standard
Entire bungalow,97.0,Basic
Entire cabin,7350.0,Standard
Entire studio,12800.0,Luxury
